"elementName", "elementContent", "typeAttributeIfPresent"
"geogFeat Adriatique mer"
"geogFeat Grand Désert désert"
"geogFeat Méditerranée mer"
"geogFeat Océan océan"
"geogFeat baie du mont Saint-Michel "
"geogFeat presqu'ile de Cotentin "
"placeName Amérique "
"placeName Angleterre "
"placeName Bois-Maillard "
"placeName Catelet "
"placeName Cherbourg "
"placeName Chine "
"placeName Corfou "
"placeName Cotentin "
"placeName Dunkerque "
"placeName Espagne "
"placeName Etats-Unis "
"placeName Europe "
"placeName Fort-de-France "
"placeName Fort-de-France "
"placeName Havre "
"placeName Hollande "
"placeName Italie "
"placeName Japon "
"placeName Martinique "
"placeName Martinique "
"placeName Martinique "
"placeName Saint-Quentin "
"placeName Venise "
"placeName ile de Zante "
"placeName mont Saint-Michel "
"placeName mont Saint-Mlichel "